iter	RMSE
0	317.2992717
1	312.4339916
2	307.6270962
3	303.163898
4	299.104307
5	294.4829952
6	290.1448778
7	286.075826
8	281.7009047
9	277.644716
10	272.9612645
11	269.0272563
12	265.155494
13	261.4254886
14	258.2256578
15	254.5406267
16	251.639708
17	248.6023761
18	245.4729689
19	242.3901074
20	238.707443
21	235.4758624
22	232.773006
23	229.6778582
24	227.0674385
25	224.3087949
26	221.798966
27	218.8874713
28	216.2362466
29	213.5966298
30	211.2283278
31	208.7746616
32	206.5336932
33	204.1463477
34	201.530086
35	199.2276082
36	196.9067868
37	195.0391159
38	193.1326621
39	190.936125
40	189.1003001
41	187.1384847
42	185.3542231
43	183.6605197
44	181.9440523
45	180.2402636
46	178.5400352
47	176.9550214
48	175.2315186
49	173.7408332
50	172.0237279
51	170.3869446
52	168.7053712
53	167.2214419
54	165.8960015
55	164.7677822
56	163.3775793
57	161.968194
58	160.5855772
59	159.3680674
60	158.0015567
61	156.8667425
62	155.5646065
63	154.1134921
64	152.976316
65	151.7687966
66	150.6227717
67	149.4789056
68	148.4483763
69	147.2089603
70	146.2262239
71	145.4044319
72	144.3331332
73	143.496585
74	142.0968671
75	141.1584758
76	140.1243907
77	139.2694109
78	138.367234
79	137.3729206
80	136.5773786
81	135.7095683
82	134.8196925
83	133.5441699
84	132.7537817
85	131.9817407
86	131.0439644
87	130.2178151
88	129.7027787
89	128.9448881
90	128.3456392
91	127.6753211
92	126.8783974
93	126.1609268
94	125.6698193
95	124.9503206
96	124.3833756
97	123.7925592
98	123.1979636
99	122.533496
100	121.9567345
101	121.3424389
102	120.9283809
103	120.1845247
104	119.5350676
105	118.9482851
106	118.402649
107	117.6977896
108	117.08763
109	116.3394651
110	115.8524402
111	115.4426324
112	114.9101624
113	114.2613303
114	113.6921986
115	113.1061723
116	112.3725214
117	111.735269
118	111.4149721
119	111.0438086
120	110.46929
121	109.8879528
122	109.4412447
123	109.1326788
124	108.7539201
125	108.1669499
126	107.5244518
127	107.1242013
128	106.6233043
129	105.9688026
130	105.4552696
131	105.0276
132	104.6418228
133	104.3079372
134	103.8687202
135	103.3914273
136	102.9310135
137	102.4440758
138	101.8783757
139	101.6527478
140	101.1894972
141	100.8132003
142	100.0667864
143	99.62311777
144	99.28807751
145	98.815033
146	98.47172087
147	97.81445943
148	97.42530384
149	97.12027569
150	96.66115565
151	96.28733387
152	95.95758017
153	95.55928012
154	95.09006187
155	94.60447352
156	94.39369975
157	93.90811254
158	93.49764899
159	92.88387606
160	92.48890384
161	92.24850735
162	91.9433983
163	91.72168791
164	91.28042055
165	90.86672373
166	90.54857899
167	90.22306131
168	89.75890025
169	89.43350287
170	89.05474544
171	88.6161063
172	88.38935987
173	88.08173566
174	87.81974824
175	87.48232731
176	87.14903815
177	86.77058835
178	86.43660686
179	86.13388248
180	85.90139199
181	85.59565714
182	85.31345653
183	84.90412404
184	84.51536013
185	84.13043056
186	83.88570326
187	83.6007359
188	83.20611471
189	82.71908951
190	82.25683171
191	81.96848414
192	81.54302529
193	81.30055116
194	80.95211291
195	80.75404438
196	80.44477466
197	80.13102648
198	79.80200758
199	79.48960678
200	79.19676697
201	78.64720594
202	78.33530157
203	78.02362818
204	77.69574077
205	77.39307864
206	77.00141314
207	76.66882318
208	76.4460407
209	76.02818195
210	75.80545195
211	75.37260094
212	75.2096131
213	75.05738735
214	74.67145092
215	74.46306741
216	74.1646222
217	74.00639838
218	73.73334982
219	73.5914577
220	73.35155849
221	73.08541548
222	72.73495318
223	72.4734081
224	72.2106762
225	71.97858322
226	71.59310126
227	71.29910572
228	70.84251277
229	70.55435119
230	70.32345563
231	70.03756891
232	69.82759974
233	69.57822471
234	69.2998933
